ticker,ath_px,ath_shares,ath_mkt_cap,ath_date,last_px,last_shrs,last_mkt_cap
PAM,72.9800033569336,78.088,5698.86250213623,2018-01-18,46.119998931884766,54.54,2515.384741744995
SUPV,31.87031031881071,108.34700000000001,3453.052512112184,2018-01-24,6.010000228881836,91.344496,548.980441867096
TEO,29.405225266053872,512.9705,15084.013107340288,2018-01-25,7.800000190734863,430.737984,3359.7563573567504
EDN,63.290000915527344,88.9545,5629.930386440277,2018-01-26,18.43000030517578,43.7801,806.8672563606261
BBAR,23.7754803156472,204.333,4858.115219337139,2018-01-19,9.010000228881836,204.236992,1840.1753446661376
LOMA,22.995288421255193,116.696,2683.4581776067957,2018-01-19,7.389999866485596,116.697,862.3908144192695
YPF,48.03938347055887,392.947,18876.931616605696,2010-12-27,21.610000610351562,393.312992,8499.4939971792
BMA,104.4674460961257,66.9,6988.872143830809,2017-10-23,51.7400016784668,63.9413,3308.322969323349
TS,51.31417193391123,581.61,29844.83553848211,2008-06-30,39.43000030517578,575.379968,22687.232313832028
CEPU,15.680256678212364,148.893,2334.6804575890737,2018-02-07,10.649999618530273,150.374,1601.4830426368712
TGS,20.915585073375713,158.1105,3306.973613743971,2018-01-18,17.440000534057617,150.552,2625.6269604034424
AGRO,13.009332926730718,114.15,1485.0153535863114,2011-04-01,11.630000114440918,106.006,1232.849792131424
CAAP,17.91832733154297,157.65,2824.8243038177493,2018-02-01,16.920000076293945,160.972,2723.646252281189
GGAL,61.837921649610166,176.51049999999998,10915.042469333514,2018-01-18,29.770000457763672,147.468992,4390.151959345947
CRESY,20.20986873215752,54.3685,1098.7802481643062,2017-11-07,9.649999618530273,58.8237,567.6486825605392
BIOX,17.940000534057617,38.9,697.8660207748413,2021-03-16,12.59000015258789,60.57,762.5763092422485
VIST,44.25,100.873,4463.63025,2024-04-09,43.34000015258789,95.3554,4132.70305055008
